#          t, cst,              etot,             epot,             qe001,            qe002,            qe003
     0.00000    2    -188.5592982596   -188.5595434223    -188.6662494223   -188.5595434223   -188.4217354223
     0.50000    2    -188.5593395139   -188.5625809208    -188.6693969208   -188.5625809208   -188.4259829208
     1.00000    2    -188.5594531108   -188.5716653589    -188.6780713589   -188.5716653589   -188.4375833589
     1.50000    2    -188.5595976240   -188.5850065404    -188.6905815404   -188.5850065404   -188.4545305404
     2.00000    2    -188.5597227876   -188.6003094702    -188.7047604702   -188.6003094702   -188.4742144702
     2.50000    2    -188.5598076366   -188.6154602430    -188.7186272430   -188.6154602430   -188.4941642430
     3.00000    2    -188.5598436664   -188.6289267349    -188.7307627349   -188.6289267349   -188.5125077349
     3.50000    2    -188.5598396488   -188.6398765950    -188.7404145950   -188.6398765950   -188.5281285950
     4.00000    2    -188.5598090690   -188.6480637272    -188.7473817272   -188.6480637272   -188.5405767272
     4.50000    2    -188.5597661931   -188.6536372410    -188.7518372410   -188.6536372410   -188.5498762410
     5.00000    2    -188.5597218121   -188.6569519626    -188.7541439626   -188.6569519626   -188.5563329626
     5.50000    2    -188.5596847321   -188.6584353396    -188.7547293396   -188.6584353396   -188.5603803396
     6.00000    2    -188.5596482819   -188.6584920706    -188.7540020706   -188.6584920706   -188.5624780706
     6.50000    2    -188.5596077536   -188.6574778020    -188.7523298020   -188.6574778020   -188.5679498020
     7.00000    2    -188.5595927539   -188.6557170447    -188.7500350447   -188.6557170447   -188.5737280447
     7.50000    2    -188.5595563041   -188.6533953023    -188.7473293023   -188.6533953023   -188.5783003023
     8.00000    2    -188.5595476387   -188.6507399938    -188.7444559938   -188.6507399938   -188.5819969938
     8.50000    2    -188.5595229404   -188.6478415493    -188.7414985493   -188.6478415493   -188.5849815493
     9.00000    2    -188.5595174022   -188.6448372984    -188.7386352984   -188.6448372984   -188.5875102984
     9.50000    2    -188.5594965738   -188.6417726285    -188.7358976285   -188.6417726285   -188.5896766285
    10.00000    2    -188.5594991965   -188.6387505009    -188.7334435009   -188.6387505009   -188.5917025009
    10.50000    2    -188.5594915219   -188.6357914772    -188.7312454772   -188.6357914772   -188.5935954772
    11.00000    2    -188.5594860363   -188.6329575546    -188.7293715546   -188.6329575546   -188.5954575546
    11.50000    2    -188.5594792044   -188.6302937855    -188.7278487855   -188.6302937855   -188.5973337855
    12.00000    2    -188.5594718276   -188.6278545343    -188.7266905343   -188.6278545343   -188.5992345343
    12.50000    2    -188.5594627348   -188.6257102575    -188.7258982575   -188.6257102575   -188.6011302575
    13.00000    2    -188.5594354687   -188.6239596295    -188.7254536295   -188.6239596295   -188.6029146295
    13.50000    2    -188.5594215287   -188.6228312127    -188.7253772127   -188.6228312127   -188.6044292127
    14.00000    2    -188.5593912991   -188.6225876849    -188.7256406849   -188.6225876849   -188.6053616849
    14.50000    2    -188.5593962447   -188.6235658339    -188.7263238339   -188.6235658339   -188.6055008339
    15.00000    2    -188.5594127439   -188.6258392064    -188.7274782064   -188.6258392064   -188.6048192064
    15.50000    2    -188.5594358447   -188.6292781364    -188.7291671364   -188.6292781364   -188.6035151364
    16.00000    2    -188.5594612496   -188.6336627212    -188.7313757212   -188.6336627212   -188.6017587212
    16.50000    2    -188.5594846627   -188.6387746763    -188.7340186763   -188.6387746763   -188.5996106763
    17.00000    2    -188.5594826791   -188.6443854780    -188.7369294780   -188.6443854780   -188.5993134780
    17.50000    2    -188.5595072135   -188.6503386564    -188.7399746564   -188.6503386564   -188.6033856564
    18.00000    2    -188.5595222505   -188.6563812089    -188.7429032089   -188.6563812089   -188.6072162089
    18.50000    2    -188.5594973796   -188.6622567817    -188.7454507817   -188.6622567817   -188.6105677817
    19.00000    2    -188.5595180066   -188.6678224606    -188.7474474606   -188.6678224606   -188.6133404606
    19.50000    2    -188.5595459187   -188.6728206634    -188.7486266634   -188.6728206634   -188.6152896634
    20.00000    2    -188.5595545728   -188.6770286722    -188.7487476722   -188.6770286722   -188.6162356722
    20.50000    2    -188.5595735301   -188.6803151697    -188.7476691697   -188.6803151697   -188.6160691697
    21.00000    2    -188.5595665795   -188.6825287137    -188.7452317137   -188.6825287137   -188.6147007137
    21.50000    2    -188.5595649873   -188.6836376911    -188.7414076911   -188.6836376911   -188.6121526911
    22.00000    2    -188.5595709572   -188.6836382369    -188.7362112369   -188.6836382369   -188.6084672369
    22.50000    2    -188.5595506751   -188.6825452765    -188.7296822765   -188.6825452765   -188.6037492765
    23.00000    2    -188.5595414730   -188.6804957755    -188.7220037755   -188.6804957755   -188.5981947755
    23.50000    2    -188.5595171274   -188.6776084333    -188.7133534333   -188.6776084333   -188.5920154333
    24.00000    2    -188.5594982073   -188.6740855541    -188.7040105541   -188.6740855541   -188.5854875541
    24.50000    2    -188.5594869630   -188.6701416438    -188.6942816438   -188.6701416438   -188.5788956438
    25.00000    2    -188.5594549806   -188.6659822519    -188.6844792519   -188.6659822519   -188.5725112519
    25.50000    2    -188.5594386198   -188.6618928717    -188.6750068717   -188.6618928717   -188.5666488717
    26.00000    2    -188.5594152408   -188.6581094036    -188.6662204036   -188.6581094036   -188.5615524036
    26.50000    2    -188.5593960592   -188.6549039910    -188.6585129910   -188.6549039910   -188.5574559910
    27.00000    2    -188.5593773521   -188.6525304609    -188.6522514609   -188.6525304609   -188.5545304609
    27.00000    2    -188.5593753421   -188.6525284509    -188.6522494509   -188.6525284509   -188.5545294509
    27.50000    2    -188.5593578975   -188.6512330133    -188.6477740133   -188.6512330133   -188.5528870133
