#          t, cst,              etot,             epot,             qe001,            qe002,            qe003,            qe004,            qe005,            qe006,            qe007,            qe008,            qe009,            qe010,            qe011,            qe012,            qe013,            qe014,            qe015,            qe016,            qe017,            qe018,            qe019,            qe020,            qe021,            qe022,            qe023,            qe024,            qe025,            qe026,            qe027,            qe028,            qe029,            qe030,            qe031
     0.00000    4    -263.3332651747   -263.3583371873    -263.5434511873   -263.3961872873   -263.3695091873   -263.3583371873   -263.3276034873   -263.3219177873   -263.3017252873   -263.2979970873   -263.2945138873   -263.2894720873   -263.2851429873   -263.2768534873   -263.2731229873   -263.2700019873   -263.2651309873   -263.2594715873   -263.2572791873   -263.2543058873   -263.2511094873   -263.2497868873   -263.2474692873   -263.2441467873   -263.2400374873   -263.2387889873   -263.2358587873   -263.2347586873   -263.2301001873   -263.2273416873   -263.2231215873   -263.2214879873   -263.2206952873
     0.50000    4    -263.3333198200   -263.3624119413    -263.5481932413   -263.4005072413   -263.3743998413   -263.3624119413   -263.3315211413   -263.3270123413   -263.3069637413   -263.3024638413   -263.2989959413   -263.2943664413   -263.2901043413   -263.2819907413   -263.2787381413   -263.2748383413   -263.2702729413   -263.2631792413   -263.2616253413   -263.2586615413   -263.2559819413   -263.2542830413   -263.2522160413   -263.2493218413   -263.2455073413   -263.2440533413   -263.2407668413   -263.2394075413   -263.2344120413   -263.2317224413   -263.2284053413   -263.2260999413   -263.2255530413
     1.00000    4    -263.3333498780   -263.3658992619    -263.5521547619   -263.4039685619   -263.3784447619   -263.3658992619   -263.3347636619   -263.3311676619   -263.3112906619   -263.3062420619   -263.3028129619   -263.2984139619   -263.2943726619   -263.2861787619   -263.2834043619   -263.2787573619   -263.2747506619   -263.2663810619   -263.2652950619   -263.2622293619   -263.2598750619   -263.2581705619   -263.2562431619   -263.2536167619   -263.2503609619   -263.2483862619   -263.2448788619   -263.2433195619   -263.2381096619   -263.2353861619   -263.2328508619   -263.2300815619   -263.2295445619
     1.50000    4    -263.3333485526   -263.3682373725    -263.5547331725   -263.4060738725   -263.3810701725   -263.3682373725   -263.3368142725   -263.3338235725   -263.3141322725   -263.3087645725   -263.3053852725   -263.3010639725   -263.2973471725   -263.2888966725   -263.2864690725   -263.2811996725   -263.2779477725   -263.2686738725   -263.2675658725   -263.2644738725   -263.2622350725   -263.2608420725   -263.2589637725   -263.2564478725   -263.2539373725   -263.2511916725   -263.2476326725   -263.2459290725   -263.2405946725   -263.2377710725   -263.2358507725   -263.2328107725   -263.2321654725
     2.00000    4    -263.3333228545   -263.3693493298    -263.5558223298   -263.4068200298   -263.3821987298   -263.3693493298   -263.3376343298   -263.3349205298   -263.3154079298   -263.3099466298   -263.3066421298   -263.3022358298   -263.2989138298   -263.2901112298   -263.2877980298   -263.2821043298   -263.2797298298   -263.2699740298   -263.2683579298   -263.2653488298   -263.2630390298   -263.2621520298   -263.2602905298   -263.2577302298   -263.2560471298   -263.2523949298   -263.2489617298   -263.2471509298   -263.2417444298   -263.2388122298   -263.2372905298   -263.2341279298   -263.2333940298
     2.50000    4    -263.3332835780   -263.3695617845    -263.5557369845   -263.4066027845   -263.3821716845   -263.3695617845   -263.3375785845   -263.3348085845   -263.3154469845   -263.3101129845   -263.3069354845   -263.3022414845   -263.2993638845   -263.2901499845   -263.2877415845   -263.2818312845   -263.2803603845   -263.2704586845   -263.2681288845   -263.2652268845   -263.2627657845   -263.2622689845   -263.2605392845   -263.2577985845   -263.2569186845   -263.2523504845   -263.2492065845   -263.2472988845   -263.2418477845   -263.2388450845   -263.2374675845   -263.2343840845   -263.2334405845
     3.00000    4    -263.3332397313   -263.3694487979    -263.5550563979   -263.4060486979   -263.3815910979   -263.3694487979   -263.3372434979   -263.3340751979   -263.3148316979   -263.3098460979   -263.3068632979   -263.3016436979   -263.2992365979   -263.2895493979   -263.2869648979   -263.2810460979   -263.2803027979   -263.2706431979   -263.2674845979   -263.2647297979   -263.2622924979   -263.2614702979   -263.2602564979   -263.2572482979   -263.2570607979   -263.2516725979   -263.2489534979   -263.2469309979   -263.2414558979   -263.2384455979   -263.2369398979   -263.2341630979   -263.2328574979
     3.50000    4    -263.3331979695   -263.3696793036    -263.5544706036   -263.4058558036   -263.3811647036   -263.3696793036   -263.3373126036   -263.3333947036   -263.3142475036   -263.3098386036   -263.3070987036   -263.3011197036   -263.2991703036   -263.2889565036   -263.2862347036   -263.2807318036   -263.2799100036   -263.2711896036   -263.2670793036   -263.2645201036   -263.2620994036   -263.2607022036   -263.2600398036   -263.2571208036   -263.2567770036   -263.2510751036   -263.2488814036   -263.2467028036   -263.2412323036   -263.2382827036   -263.2363798036   -263.2341164036   -263.2323501036
     4.00000    4    -263.3331718265   -263.3708741844    -263.5546317844   -263.4066509844   -263.3815577844   -263.3708741844   -263.3384046844   -263.3333979844   -263.3143418844   -263.3107507844   -263.3082420844   -263.3013201844   -263.2997640844   -263.2890086844   -263.2862452844   -263.2813814844   -263.2799509844   -263.2727326844   -263.2675187844   -263.2651506844   -263.2627152844   -263.2609661844   -263.2602895844   -263.2577394844   -263.2570372844   -263.2512217844   -263.2496161844   -263.2472317844   -263.2418058844   -263.2389797844   -263.2364409844   -263.2348734844   -263.2325830844
     4.50000    4    -263.3331744146   -263.3734110241    -263.5559577241   -263.4087993241   -263.3831926241   -263.3734110241   -263.3408810241   -263.3344896241   -263.3155301241   -263.3130116241   -263.3106406241   -263.3026678241   -263.3013952241   -263.2901320241   -263.2874249241   -263.2831228241   -263.2811015241   -263.2756761241   -263.2691876241   -263.2669373241   -263.2645184241   -263.2626388241   -263.2614649241   -263.2593561241   -263.2584321241   -263.2525310241   -263.2515365241   -263.2489085241   -263.2435764241   -263.2409265241   -263.2375820241   -263.2368713241   -263.2339449241
