     0.672414000000E-02    0.227081000000E-02    0.986926300000E-01    0.808860000000E-03    0.349660000000E-03    0.342166000000E-01    0.177596700000E-01    0.406375000000E-01    0.957028800000E-01    0.529345000000E-02    0.101288000000E-02    0.833560000000E-03    0.436369000000E-02    0.421400700000E-01    0.367747480000E+00    0.220111830000E+00    0.168687030000E+00    0.198475000000E-02    0.545521200000E-01    0.241834400000E-01    0.185687000000E-02    0.105664900000E-01    0.812970000000E-03    0.125400900000E-01    0.762533000000E-02    0.479751000000E-02    0.979025000000E-02    0.260580000000E-01    0.106639600000E-01    0.227337900000E-01
     0.696542000000E-02    0.200229000000E-02    0.995288800000E-01    0.831910000000E-03    0.228310000000E-03    0.386294000000E-01    0.206660300000E-01    0.355171000000E-01    0.974914700000E-01    0.553827000000E-02    0.140968000000E-02    0.553280000000E-03    0.418731000000E-02    0.408018600000E-01    0.353621490000E+00    0.195436230000E+00    0.210676550000E+00    0.305398000000E-02    0.422860500000E-01    0.310224500000E-01    0.161106000000E-02    0.997696000000E-02    0.104749000000E-02    0.152143500000E-01    0.728733000000E-02    0.525904000000E-02    0.922412000000E-02    0.313148200000E-01    0.208488800000E-01    0.185973500000E-01
     0.721982000000E-02    0.194076000000E-02    0.999902200000E-01    0.846620000000E-03    0.143330000000E-03    0.436760600000E-01    0.237738500000E-01    0.335029200000E-01    0.957260100000E-01    0.620692000000E-02    0.201845000000E-02    0.234610000000E-03    0.391033000000E-02    0.394643400000E-01    0.338849680000E+00    0.168396520000E+00    0.252760920000E+00    0.680806000000E-02    0.314144500000E-01    0.376059800000E-01    0.166252000000E-02    0.953027000000E-02    0.127146000000E-02    0.179895800000E-01    0.654942000000E-02    0.596217000000E-02    0.809912000000E-02    0.363597500000E-01    0.362785300000E-01    0.825283000000E-02
     0.744752000000E-02    0.202848000000E-02    0.100163170000E+00    0.869020000000E-03    0.157520000000E-03    0.489089900000E-01    0.271599400000E-01    0.349589300000E-01    0.899657200000E-01    0.723668000000E-02    0.271127000000E-02    0.242200000000E-04    0.354312000000E-02    0.382250200000E-01    0.313619880000E+00    0.154444300000E+00    0.285915220000E+00    0.144610100000E-01    0.254353900000E-01    0.424787300000E-01    0.230770000000E-02    0.904997000000E-02    0.167799000000E-02    0.206102100000E-01    0.551400000000E-02    0.678872000000E-02    0.668340000000E-02    0.406796300000E-01    0.421839500000E-01    0.802726000000E-02
     0.760273000000E-02    0.226076000000E-02    0.100106450000E+00    0.901320000000E-03    0.317440000000E-03    0.537240900000E-01    0.310271200000E-01    0.393287000000E-01    0.805670200000E-01    0.858380000000E-02    0.320781000000E-02    0.180740000000E-03    0.310001000000E-02    0.371870800000E-01    0.294041920000E+00    0.143585260000E+00    0.302060830000E+00    0.255847200000E-01    0.262392400000E-01    0.460826600000E-01    0.383221000000E-02    0.845071000000E-02    0.218690000000E-02    0.229666400000E-01    0.428930000000E-02    0.766401000000E-02    0.539824000000E-02    0.434633200000E-01    0.417052400000E-01    0.123920100000E-01
     0.764496000000E-02    0.265477000000E-02    0.998611600000E-01    0.914290000000E-03    0.644530000000E-03    0.574684100000E-01    0.357740000000E-01    0.449424900000E-01    0.687914000000E-01    0.102596700000E-01    0.338756000000E-02    0.763890000000E-03    0.283257000000E-02    0.361909000000E-01    0.294160140000E+00    0.126298680000E+00    0.293778700000E+00    0.573772100000E-01    0.171774900000E-01    0.509620800000E-01    0.628283000000E-02    0.757872000000E-02    0.262701000000E-02    0.250468800000E-01    0.300386000000E-02    0.858666000000E-02    0.472129000000E-02    0.440096800000E-01    0.371483500000E-01    0.192432100000E-01
     0.755148000000E-02    0.322781000000E-02    0.994434600000E-01    0.871150000000E-03    0.110167000000E-02    0.596040800000E-01    0.420519700000E-01    0.491629900000E-01    0.565377700000E-01    0.124023600000E-01    0.341919000000E-02    0.151350000000E-02    0.658097000000E-02    0.314651000000E-01    0.306905430000E+00    0.110757180000E+00    0.260354650000E+00    0.101389600000E+00    0.466919000000E-02    0.592499800000E-01    0.906804000000E-02    0.643965000000E-02    0.282974000000E-02    0.268018400000E-01    0.182711000000E-02    0.951827000000E-02    0.483316000000E-02    0.423017500000E-01    0.320256900000E-01    0.253714300000E-01
     0.732491000000E-02    0.398547000000E-02    0.988361100000E-01    0.774350000000E-03    0.156364000000E-02    0.598471800000E-01    0.507642000000E-01    0.493293800000E-01    0.453057900000E-01    0.153659400000E-01    0.347372000000E-02    0.213954000000E-02    0.248392000000E-01    0.125690900000E-01    0.327100600000E+00    0.100645230000E+00    0.217838410000E+00    0.123571510000E+00    0.193100700000E-01    0.601211000000E-01    0.412839000000E-02    0.124186700000E-01    0.271995000000E-02    0.280376200000E-01    0.957920000000E-03    0.103176500000E-01    0.535003000000E-02    0.393096700000E-01    0.271008200000E-01    0.297150600000E-01
     0.699194000000E-02    0.492380000000E-02    0.979817000000E-01    0.655970000000E-03    0.186824000000E-02    0.582085700000E-01    0.626767900000E-01    0.439223600000E-01    0.354198200000E-01    0.197451700000E-01    0.360261000000E-02    0.245265000000E-02    0.312842100000E-01    0.588372000000E-02    0.351103130000E+00    0.977387900000E-01    0.183952620000E+00    0.124213120000E+00    0.773356100000E-01    0.207502100000E-01    0.246316000000E-02    0.143013600000E-01    0.240718000000E-02    0.284066900000E-01    0.537560000000E-03    0.107590100000E-01    0.582267000000E-02    0.363729100000E-01    0.211260200000E-01    0.318327300000E-01
     0.659428000000E-02    0.603791000000E-02    0.967809800000E-01    0.541400000000E-03    0.191202000000E-02    0.548724800000E-01    0.772440900000E-01    0.336808100000E-01    0.264726500000E-01    0.260517200000E-01    0.376776000000E-02    0.237183000000E-02    0.335698300000E-01    0.381543000000E-02    0.375495970000E+00    0.104350600000E+00    0.163181080000E+00    0.108295860000E+00    0.103962380000E+00    0.650096000000E-02    0.131053000000E-02    0.149750900000E-01    0.237013000000E-02    0.273876200000E-01    0.547070000000E-03    0.106314500000E-01    0.613689000000E-02    0.344750800000E-01    0.133499400000E-01    0.345238400000E-01
