     0.672350000000E-02    0.226825000000E-02    0.986925400000E-01    0.349710000000E-03
     0.696567000000E-02    0.197407000000E-02    0.995953700000E-01    0.225980000000E-03
     0.722203000000E-02    0.183704000000E-02    0.100235280000E+00    0.139580000000E-03
     0.745521000000E-02    0.179774000000E-02    0.100682090000E+00    0.155020000000E-03
     0.762223000000E-02    0.183039000000E-02    0.100998650000E+00    0.303490000000E-03
     0.768394000000E-02    0.192282000000E-02    0.101250820000E+00    0.588770000000E-03
     0.761626000000E-02    0.206036000000E-02    0.101500840000E+00    0.105436000000E-02
     0.741861000000E-02    0.221943000000E-02    0.101785740000E+00    0.173839000000E-02
     0.711163000000E-02    0.237001000000E-02    0.102108190000E+00    0.130986000000E-02
     0.673019000000E-02    0.248570000000E-02    0.102425130000E+00    0.102692000000E-02
     0.631296000000E-02    0.255111000000E-02    0.102634070000E+00    0.788630000000E-03
     0.589543000000E-02    0.256375000000E-02    0.102600460000E+00    0.606660000000E-03
     0.550676000000E-02    0.253115000000E-02    0.102194880000E+00    0.468990000000E-03
     0.516961000000E-02    0.246409000000E-02    0.101324450000E+00    0.364360000000E-03
     0.490183000000E-02    0.236988000000E-02    0.999745100000E-01    0.285500000000E-03
     0.471773000000E-02    0.224946000000E-02    0.982215900000E-01    0.226900000000E-03
     0.462856000000E-02    0.209638000000E-02    0.962179400000E-01    0.184440000000E-03
     0.464123000000E-02    0.190024000000E-02    0.941708700000E-01    0.154450000000E-03
     0.475446000000E-02    0.165258000000E-02    0.922881000000E-01    0.134310000000E-03
     0.495405000000E-02    0.135190000000E-02    0.907335000000E-01    0.121940000000E-03
     0.520932000000E-02    0.100748000000E-02    0.896185700000E-01    0.116450000000E-03
     0.547703000000E-02    0.636710000000E-03    0.889709200000E-01    0.117610000000E-03
     0.571262000000E-02    0.270830000000E-03    0.887440500000E-01    0.127020000000E-03
     0.588316000000E-02    0.166000000000E-04    0.887585700000E-01    0.148210000000E-03
     0.597449000000E-02    0.388630000000E-03    0.883949100000E-01    0.186140000000E-03
     0.598904000000E-02    0.383584000000E-02    0.850861400000E-01    0.244890000000E-03
     0.594032000000E-02    0.176100800000E-01    0.714769300000E-01    0.324750000000E-03
     0.584671000000E-02    0.389693500000E-01    0.502330600000E-01    0.419300000000E-03
     0.572691000000E-02    0.515558300000E-01    0.376714800000E-01    0.515260000000E-03
     0.559693000000E-02    0.555660300000E-01    0.335584300000E-01    0.594020000000E-03
     0.546843000000E-02    0.543456000000E-01    0.345422900000E-01    0.638410000000E-03
     0.534782000000E-02    0.489734100000E-01    0.395310100000E-01    0.638250000000E-03
     0.523739000000E-02    0.398980900000E-01    0.480538600000E-01    0.594440000000E-03
     0.513558000000E-02    0.286745700000E-01    0.585760600000E-01    0.517900000000E-03
     0.503951000000E-02    0.183319200000E-01    0.680824200000E-01    0.425900000000E-03
     0.494688000000E-02    0.109749300000E-01    0.745331800000E-01    0.336590000000E-03
     0.485782000000E-02    0.650586000000E-02    0.781300200000E-01    0.263270000000E-03
     0.477566000000E-02    0.395219000000E-02    0.799792900000E-01    0.213030000000E-03
     0.470721000000E-02    0.250068000000E-02    0.810321400000E-01    0.185440000000E-03
     0.466169000000E-02    0.166183000000E-02    0.818845300000E-01    0.175930000000E-03
     0.464955000000E-02    0.116341000000E-02    0.828390300000E-01    0.177730000000E-03
     0.468019000000E-02    0.856430000000E-03    0.839929500000E-01    0.185060000000E-03
     0.475977000000E-02    0.657070000000E-03    0.853102400000E-01    0.194150000000E-03
     0.488888000000E-02    0.516350000000E-03    0.866859900000E-01    0.204110000000E-03
     0.506175000000E-02    0.405620000000E-03    0.880072800000E-01    0.215680000000E-03
     0.526520000000E-02    0.309210000000E-03    0.891915600000E-01    0.232670000000E-03
     0.547876000000E-02    0.222420000000E-03    0.902128900000E-01    0.260420000000E-03
     0.567545000000E-02    0.150240000000E-03    0.911042400000E-01    0.309500000000E-03
     0.582428000000E-02    0.105660000000E-03    0.919477300000E-01    0.396790000000E-03
     0.589663000000E-02    0.104380000000E-03    0.928397200000E-01    0.537620000000E-03
     0.587614000000E-02    0.156500000000E-03    0.938760200000E-01    0.705050000000E-03
